Emitten;Company
AMAN;Makmur Berkah Amanda Tbk
APLN;Agung Podomoro Land Tbk
ASRI;Alam Sutera Realty Tbk
ATAP;Trimitra Prawara Goldland Tbk
BAPA;Bekasi Asri Pemula Tbk
BAPI;Bhakti Agung Propertindo Tbk
BCIP;Bumi Citra Permai Tbk
BEST;Bekasi Fajar Industrial Estate Tbk
BIKA;Binakarya Jaya Abadi Tbk
BKDP;Bukit Darmo Property Tbk
BKSL;Sentul City Tbk
BSDE;Bumi Serpong Damai Tbk
CITY;Natura City Developments Tbk
COWL;Cowell Development Tbk
CPRI;Capri Nusa Satu Properti Tbk
CTRA;Ciputra Development Tbk
DADA;Diamond Citra Propertindo Tbk
DART;Duta Anggada Realty Tbk
DMAS;Puradelta Lestari Tbk
DUTI;Duta Pertiwi Tbk
